IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I6360",,"I6350",,,"Before","Cerebral infarction due to multiple unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-01-01 00:00:00","Iris",,,"/Created"
"I6369",,"I6359",,,"Before","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",1,2010,9999,"2005-01-01 00:00:00","Iris",,,"/Created, residue"
"I636",,"I6360",,,"USCreated","Cerebral infarction due to multiple unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-01-01 00:00:00","Iris",,,"/Created"
"I636",,"I6369",,,"USCreated","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-01-01 00:00:00","Iris",,,"/Created"
"C2290",,"C2290",,,"Before","Liver cancer, specified as primary but morphology not stated",,0,2010,2016,"2011-02-18 00:00:00","LAJ","2016-04-14 00:00:00","Freddy","Please use P flag for primary cancer with stem code"
"C2299",,"C229",,,"Before","Liver cancer, unspecified",,0,2010,2016,"2011-02-18 00:00:00","LAJ","2016-04-14 00:00:00","Freddy","Please use P flag for primary cancer with stem code"
"A169",,"A1699",,,"USCreated","Tuberculosis specified as respiratory or pulmonary","US created codes 2007",0,2010,9999,"2014-02-05 00:00:00","LAJ",,,"/Created"
"A169",,"A1690",,,"USCreated","Tuberculosis unspecified","US created codes 2007",0,2010,9999,"2014-02-05 00:00:00","LAJ",,,"/Created"
"A1690",,"A1690",,,"Before","Tuberculosis unspecified","US created codes 2007",0,2010,9999,"2014-02-05 00:00:00","LAJ",,,"/Created"
"A1699",,"A1699",,,"Before","Tuberculosis, specified as respiratory","US created codes 2007",1,2010,9999,"2014-02-05 00:00:00","LAJ",,,"/Created, residue"
"E039",,"E0399",,,"USCreated","Hypothyroidism, not described as advanced or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"E039",,"E0390",,,"USCreated","Hypothyroidism, advanced, grave or similar ","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"E0390",,"E0390",,,"Before","Hypothyroidism, advanced, grave or similar ","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"E0399",,"E0399",,,"Before","Hypothyroidism, not described as advanced or similar","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"G122",,"G1220",,,"USCreated","Motor neuron disease, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G122",,"G1229",,,"USCreated","Motor neuron disease, not described as advanced or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G1220",,"G1220",,,"Before","Motor neuron disease, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G1229",,"G1229",,,"Before","Motor neuron disease, not described as advanced or similar","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"G20",,"G2000",,,"USCreated","Parkinson's disease, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G20",,"G2009",,,"USCreated","Parkinson's disease, not described as advanced or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G2000",,"G2000",,,"Before","Parkinson's disease, advanced, grave or similar","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"G2009",,"G2009",,,"Before","Parkinson's disease, not described as advanced or similar","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I219",,"I2190",,,"USCreated","Myocardial infarction caused by coronary embolism","US created codes 2008",0,2010,9999,"2009-10-02 00:00:00","Lars Age Johansson",,,"Created 2008"
"I219",,"I2199",,,"USCreated","Myocardial infarction, other and unspecified","US created codes 2008",0,2010,9999,"2009-10-02 00:00:00","Lars Age Johansson",,,"Created 2008"
"I2190",,"I2190",,,"Before","Myocardial infarction caused by coronary embolism","US created codes 2008",1,2010,9999,"2009-10-02 00:00:00","Lars Age",,,"/Created, residue"
"I2199",,"I2199",,,"Before","Myocardial infarction, other and unspecified","US created codes 2008",1,2010,9999,"2009-10-02 00:00:00","Lars Age",,,"/Created, residue"
"I420",,"I4200",,,"USCreated","Dilated cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I420",,"I4209",,,"USCreated","Dilated cardiomyopathy, not described as familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I4200",,"I4200",,,"Before","Dilated cardiomyopathy, familial, idiopathic or primary","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
