MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
"005Duration","0010","(more than)? five years","5Years",,,,2005,9999,"2011-05-04 00:00:00","larjoha",,,,,
"005Duration","0015","(more than)? two years","2Years",,,,2005,9999,"2011-05-04 00:00:00","larjoha",,,,,
"010Duration","00100","(since)?\s(\d\d?)\s?year(s)?(\sago)?","§$2Years§",,,,2005,9999,"2011-05-04 00:00:00","larjoha",,,,,
"010Duration","0020","\b[(]?\s?(\d\d?)\s?month(s)?[)]?\b","§$1Months§",,,,2005,9999,"2010-08-20 00:00:00","Pavillon",,,,,
"010Duration","0030","\b[(]?\s?(\d\d?)\s?week(s)?[)]?\b","§$1Weeks§",,,,2005,9999,"2010-08-20 00:00:00","Pavillon",,,,,
"010Duration","00300","(since)?\s(\d\d?)\s?day(s)?\b","§$2Days§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","0040","\b[(]?\s?(\d\d?)\s?day(s)?[)]?\b","§$1Days§",,,,2005,9999,"2010-08-20 00:00:00","Pavillon",,,,,
"010Duration","00400","(since)?\s(\d\d?)\s?hour(s)?\b","§$2Hours§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","0050","\b[(]?\s?(\d\d?)\s?hour(s)?[)]?\b","§$1Hours§",,,,2005,9999,"2010-08-20 00:00:00","Pavillon",,,,,
"010Duration","0060","\b[(]?\s?(\d\d?)\s?minute(s)?[)]?\b","§$1Minutes§",,,,2005,9999,"2010-08-20 00:00:00","Pavillon",,,,,
"010Duration","01100","(since)?\s(\d\d?)\s?y\b","§$2Years§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","01200","(since)?\s(\d\d?)\s?month(s)?\b","§$2Months§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","01300","(since)?\s(\d\d?)\s?d\b","§$2Days§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","01400","(since)?\s(\d\d?)\s?h\b","§$2Hours§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","01500","(since)?\s(\d\d?)\s?minute(s)?\b","§$2Minutes§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
"010Duration","01510","(since)?\s(\d\d?)\s?week(s)?\b","§$2Weeks§",,,,2005,9999,"2009-03-25 00:00:00","weber",,,,,
