MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"010Duration","0010","\b[(]?\s?(\d\d?)\s?year(s)?[)]?\b","($1Years)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"010Duration","0020","\b[(]?\s?(\d\d?)\s?month(s)?[)]?\b","($1Months)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"010Duration","0030","\b[(]?\s?(\d\d?)\s?week(s)?[)]?\b","($1Weeks)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"010Duration","0040","\b[(]?\s?(\d\d?)\s?day(s)?[)]?\b","($1Days)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"010Duration","0050","\b[(]?\s?(\d\d?)\s?hour(s)?[)]?\b","($1Hours)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"010Duration","0060","\b[(]?\s?(\d\d?)\s?minute(s)?[)]?\b","($1Minutes)",,,,2000,9999,"2010-08-20 00:00:00","Pavillon",,,
"100Month","0010","\bjanuary\b","01/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0020","\bfebruay\b","02/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0030","\bmarch\b","03/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0040","\bapril\b","04/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0050","\bmay\b","05/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0060","\bjune\b","06/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0070","\bjuly\b","07/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0080","\baugust\b","08/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0090","\bseptember\b","09/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0100","\boctober\b","10/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0110","\bnovember\b","11/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"100Month","0120","\bdecember\b","12/",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0010","\b(\d\d?)[./-](\d\d?)[./-](\d{4})\b",,"DDMMYYYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0020","\b(\d\d?)[./-](\d\d?)[./-](\d\d)\b",,"DDMMYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0030","\b(\d\d?)[/](\d{4})\b",,"MMYYYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0040","\b(\d\d?)[/](\d\d)\b",,"MMYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0050","\b19\d\d\b",,"YYYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"200Date","0060","\b20\d\d\b",,"YYYY",,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"300Status","0010","\b[(]?chronic[)]?\b","(Chronic)",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"300Status","0020","\b[(]?acute[)]?\b","(Acute)",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"300Status","0030","\b[(]?congenital[)]?\b","(Congenital)",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
"300Status","0040","\b[(]?sequel[)]?\b","(Sequel)",,,,2000,9999,"2010-08-19 00:00:00","Witting",,,
