Icd,Label,Asterisk,AffectedByInterval,AffectedByStatus,NationalExtension,ActionVar,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"A000","Cholera due to Vibrio cholerae 01, biovar cholerae",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A001","Cholera due to Vibrio cholerae 01, biovar eltor",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A009","Cholera, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A010","Typhoid fever",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A011","Paratyphoid fever A",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A012","Paratyphoid fever B",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A013","Paratyphoid fever C",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A014","Paratyphoid fever, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A020","Salmonella enteritis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A021","Salmonella sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A022","Localized salmonella infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A028","Other specified salmonella infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A029","Salmonella infection, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A030","Shigellosis due to Shigella dysenteriae",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A031","Shigellosis due to Shigella flexneri",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A032","Shigellosis due to Shigella boydii",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A033","Shigellosis due to Shigella sonnei",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A038","Other shigellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A039","Shigellosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A040","Enteropathogenic Escherichia coli infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A041","Enterotoxigenic Escherichia coli infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A042","Enteroinvasive Escherichia coli infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A043","Enterohaemorrhagic Escherichia coli infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A044","Other intestinal Escherichia coli infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A045","Campylobacter enteritis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A046","Enteritis due to Yersinia enterocolitica",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
