code;label;terminal;underlyingCauseUse;usCreated;nonCreatedCode
A00;Cholera;0;0;0;
A000;Cholera due to Vibrio cholerae 01, biovar cholerae;1;1;0;
A001;Cholera due to Vibrio cholerae 01, biovar eltor;1;1;0;
A009;Cholera, unspecified;1;1;0;
A01;Typhoid and paratyphoid fevers;0;0;0;
A010;Typhoid fever;1;1;0;
A011;Paratyphoid fever A;1;1;0;
A012;Paratyphoid fever B;1;1;0;
A013;Paratyphoid fever C;1;1;0;
A014;Paratyphoid fever, unspecified;1;1;0;
A02;Other salmonella infections;0;0;0;
A020;Salmonella enteritis;1;1;0;
A021;Salmonella sepsis;1;1;0;
A022;Localized salmonella infections;1;1;0;
A028;Other specified salmonella infections;1;1;0;
A029;Salmonella infection, unspecified;1;1;0;
A03;Shigellosis;0;0;0;
A030;Shigellosis due to Shigella dysenteriae;1;1;0;
A031;Shigellosis due to Shigella flexneri;1;1;0;
A032;Shigellosis due to Shigella boydii;1;1;0;
A033;Shigellosis due to Shigella sonnei;1;1;0;
A038;Other shigellosis;1;1;0;
A039;Shigellosis, unspecified;1;1;0;
A04;Other bacterial intestinal infections;0;0;0;
A040;Enteropathogenic Escherichia coli infection;1;1;0;
A041;Enterotoxigenic Escherichia coli infection;1;1;0;
A042;Enteroinvasive Escherichia coli infection;1;1;0;
A043;Enterohaemorrhagic Escherichia coli infection;1;1;0;
A044;Other intestinal Escherichia coli infections;1;1;0;
A045;Campylobacter enteritis;1;1;0;
A046;Enteritis due to Yersinia enterocolitica;1;1;0;
A047;Enterocolitis due to Clostridium difficile;1;1;0;
A048;Other specified bacterial intestinal infections;1;1;0;
A049;Bacterial intestinal infection, unspecified;1;1;0;
A05;Other bacterial foodborne intoxications, not elsewhere classified;0;0;0;
A050;Foodborne staphylococcal intoxication;1;1;0;
A051;Botulism;1;1;0;
A052;Foodborne Clostridium perfringens [Clostridium welchii] intoxication;1;1;0;
A053;Foodborne Vibrio parahaemolyticus intoxication;1;1;0;
A054;Foodborne Bacillus cereus intoxication;1;1;0;
A058;Other specified bacterial foodborne intoxications;1;1;0;
A059;Bacterial foodborne intoxication, unspecified;1;1;0;
A06;Amoebiasis;0;0;0;
A060;Acute amoebic dysentery;1;1;0;
A061;Chronic intestinal amoebiasis;1;1;0;
A062;Amoebic nondysenteric colitis;1;1;0;
A063;Amoeboma of intestine;1;1;0;
A064;Amoebic liver abscess;1;1;0;
A065;Amoebic lung abscess;1;1;0;
A066;Amoebic brain abscess;1;1;0;
A067;Cutaneous amoebiasis;1;1;0;
A068;Amoebic infection of other sites;1;1;0;
A069;Amoebiasis, unspecified;1;1;0;
A07;Other protozoal intestinal diseases;0;0;0;
A070;Balantidiasis;1;1;0;
A071;Giardiasis [lambliasis];1;1;0;
A072;Cryptosporidiosis;1;1;0;
A073;Isosporiasis;1;1;0;
A078;Other specified protozoal intestinal diseases;1;1;0;
A079;Protozoal intestinal disease, unspecified;1;1;0;
A08;Viral and other specified intestinal infections;0;0;0;
A080;Rotaviral enteritis;1;1;0;
A081;Acute gastroenteropathy due to Norwalk agent;1;1;0;
A082;Adenoviral enteritis;1;1;0;
A083;Other viral enteritis;1;1;0;
A084;Viral intestinal infection, unspecified;1;1;0;
A085;Other specified intestinal infections;1;1;0;
A09;Other gastroenteritis and colitis of infectious and unspecified origin;0;0;0;
A090;Other and unspecified gastroenteritis and colitis of infectious origin;1;1;0;
A099;Gastroenteritis and colitis of unspecified origin;1;1;0;
A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;0;0;0;
A150;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;1;1;0;
A151;Tuberculosis of lung, confirmed by culture only;1;1;0;
A152;Tuberculosis of lung, confirmed histologically;1;1;0;
A153;Tuberculosis of lung, confirmed by unspecified means;1;1;0;
A154;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;1;1;0;
A155;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;1;1;0;
A156;Tuberculous pleurisy, confirmed bacteriologically and histologically;1;1;0;
A157;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;1;1;0;
A158;Other respiratory tuberculosis, confirmed bacteriologically and histologically;1;1;0;
A159;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;1;1;0;
A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;0;0;0;
A160;Tuberculosis of lung, bacteriologically and histologically negative;1;1;0;
A161;Tuberculosis of lung, bacteriological and histological examination not done;1;1;0;
A162;Tuberculosis of lung, without mention of bacteriological or histological confirmation;1;1;0;
A163;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;1;1;0;
A164;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;1;1;0;
A165;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;1;1;0;
A167;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;1;1;0;
A168;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;1;1;0;
A169;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;1;1;0;
A1690;Tuberculosis, unspecified, not described as respiratory or pulmonary;1;0;1;A169
A1699;Tuberculosis, unspecified, described as respiratory or pulmonary;1;0;1;A169
A17;Tuberculosis of nervous system;0;0;0;
A170;Tuberculous meningitis;1;1;0;
A171;Meningeal tuberculoma;1;1;0;
A178;Other tuberculosis of nervous system;1;1;0;
A179;Tuberculosis of nervous system, unspecified;1;1;0;
A18;Tuberculosis of other organs;0;0;0;
A180;Tuberculosis of bones and joints;1;1;0;
A181;Tuberculosis of genitourinary system;1;1;0;
A182;Tuberculous peripheral lymphadenopathy;1;1;0;
A183;Tuberculosis of intestines, peritoneum and mesenteric glands;1;1;0;
A184;Tuberculosis of skin and subcutaneous tissue;1;1;0;
A185;Tuberculosis of eye;1;1;0;
A186;Tuberculosis of ear;1;1;0;
A187;Tuberculosis of adrenal glands;1;1;0;
A188;Tuberculosis of other specified organs;1;1;0;
A19;Miliary tuberculosis;0;0;0;
A190;Acute miliary tuberculosis of a single specified site;1;1;0;
A191;Acute miliary tuberculosis of multiple sites;1;1;0;
A192;Acute miliary tuberculosis, unspecified;1;1;0;
A198;Other miliary tuberculosis;1;1;0;
A199;Miliary tuberculosis, unspecified;1;1;0;
A20;Plague;0;0;0;
A200;Bubonic plague;1;1;0;
A201;Cellulocutaneous plague;1;1;0;
A202;Pneumonic plague;1;1;0;
A203;Plague meningitis;1;1;0;
A207;Septicaemic plague;1;1;0;
A208;Other forms of plague;1;1;0;
A209;Plague, unspecified;1;1;0;
A21;Tularaemia;0;0;0;
A210;Ulceroglandular tularaemia;1;1;0;
A211;Oculoglandular tularaemia;1;1;0;
A212;Pulmonary tularaemia;1;1;0;
A213;Gastrointestinal tularaemia;1;1;0;
A217;Generalized tularaemia;1;1;0;
A218;Other forms of tularaemia;1;1;0;
A219;Tularaemia, unspecified;1;1;0;
A22;Anthrax;0;0;0;
A220;Cutaneous anthrax;1;1;0;
A221;Pulmonary anthrax;1;1;0;
A222;Gastrointestinal anthrax;1;1;0;
A227;Anthrax sepsis;1;1;0;
A228;Other forms of anthrax;1;1;0;
A229;Anthrax, unspecified;1;1;0;
A23;Brucellosis;0;0;0;
A230;Brucellosis due to Brucella melitensis;1;1;0;
A231;Brucellosis due to Brucella abortus;1;1;0;
A232;Brucellosis due to Brucella suis;1;1;0;
A233;Brucellosis due to Brucella canis;1;1;0;
A238;Other brucellosis;1;1;0;
A239;Brucellosis, unspecified;1;1;0;
A24;Glanders and melioidosis;0;0;0;
A240;Glanders;1;1;0;
A241;Acute and fulminating melioidosis;1;1;0;
A242;Subacute and chronic melioidosis;1;1;0;
A243;Other melioidosis;1;1;0;
A244;Melioidosis, unspecified;1;1;0;
A25;Rat-bite fevers;0;0;0;
A250;Spirillosis;1;1;0;
A251;Streptobacillosis;1;1;0;
A259;Rat-bite fever, unspecified;1;1;0;
A26;Erysipeloid;0;0;0;
A260;Cutaneous erysipeloid;1;1;0;
A267;Erysipelothrix sepsis;1;1;0;
A268;Other forms of erysipeloid;1;1;0;
A269;Erysipeloid, unspecified;1;1;0;
A27;Leptospirosis;0;0;0;
A270;Leptospirosis icterohaemorrhagica;1;1;0;
A278;Other forms of leptospirosis;1;1;0;
A279;Leptospirosis, unspecified;1;1;0;
A28;Other zoonotic bacterial diseases, not elsewhere classified;0;0;0;
A280;Pasteurellosis;1;1;0;
A281;Cat-scratch disease;1;1;0;
A282;Extraintestinal yersiniosis;1;1;0;
A288;Other specified zoonotic bacterial diseases, not elsewhere classified;1;1;0;
A289;Zoonotic bacterial disease, unspecified;1;1;0;
A30;Leprosy [Hansen disease];0;0;0;
A300;Indeterminate leprosy;1;1;0;
A301;Tuberculoid leprosy;1;1;0;
A302;Borderline tuberculoid leprosy;1;1;0;
A303;Borderline leprosy;1;1;0;
A304;Borderline lepromatous leprosy;1;1;0;
A305;Lepromatous leprosy;1;1;0;
A308;Other forms of leprosy;1;1;0;
A309;Leprosy, unspecified;1;1;0;
A31;Infection due to other mycobacteria;0;0;0;
A310;Pulmonary mycobacterial infection;1;1;0;
A311;Cutaneous mycobacterial infection;1;1;0;
A318;Other mycobacterial infections;1;1;0;
A319;Mycobacterial infection, unspecified;1;1;0;
A32;Listeriosis;0;0;0;
A320;Cutaneous listeriosis;1;1;0;
A321;Listerial meningitis and meningoencephalitis;1;1;0;
A327;Listerial sepsis;1;1;0;
A328;Other forms of listeriosis;1;1;0;
A329;Listeriosis, unspecified;1;1;0;
A33;Tetanus neonatorum;1;1;0;
A34;Obstetrical tetanus;1;1;0;
A35;Other tetanus;1;1;0;
A36;Diphtheria;0;0;0;
A360;Pharyngeal diphtheria;1;1;0;
A361;Nasopharyngeal diphtheria;1;1;0;
A362;Laryngeal diphtheria;1;1;0;
A363;Cutaneous diphtheria;1;1;0;
A368;Other diphtheria;1;1;0;
A369;Diphtheria, unspecified;1;1;0;
A37;Whooping cough;0;0;0;
A370;Whooping cough due to Bordetella pertussis;1;1;0;
A371;Whooping cough due to Bordetella parapertussis;1;1;0;
A378;Whooping cough due to other Bordetella species;1;1;0;
A379;Whooping cough, unspecified;1;1;0;
A38;Scarlet fever;1;1;0;
A39;Meningococcal infection;0;0;0;
A390;Meningococcal meningitis;1;1;0;
A391;Waterhouse-Friderichsen syndrome;1;1;0;
A392;Acute meningococcaemia;1;1;0;
A393;Chronic meningococcaemia;1;1;0;
A394;Meningococcaemia, unspecified;1;1;0;
A395;Meningococcal heart disease;1;1;0;
A398;Other meningococcal infections;1;1;0;
A399;Meningococcal infection, unspecified;1;1;0;
A40;Streptococcal sepsis;0;0;0;
A400;Sepsis due to streptococcus, group A;1;1;0;
A401;Sepsis due to streptococcus, group B;1;1;0;
A402;Sepsis due to streptococcus group D and enterococcus;1;1;0;
A403;Sepsis due to Streptococcus pneumoniae;1;1;0;
A408;Other streptococcal sepsis;1;1;0;
A409;Streptococcal sepsis, unspecified;1;1;0;
A41;Other sepsis;0;0;0;
A410;Sepsis due to Staphylococcus aureus;1;1;0;
A411;Sepsis due to other specified staphylococcus;1;1;0;
A412;Sepsis due to unspecified staphylococcus;1;1;0;
A413;Sepsis due to Haemophilus influenzae;1;1;0;
A414;Sepsis due to anaerobes;1;1;0;
A415;Sepsis due to other Gram-negative organisms;1;1;0;
A418;Other specified sepsis;1;1;0;
A419;Sepsis, unspecified;1;1;0;
A42;Actinomycosis;0;0;0;
A420;Pulmonary actinomycosis;1;1;0;
A421;Abdominal actinomycosis;1;1;0;
A422;Cervicofacial actinomycosis;1;1;0;
A427;Actinomycotic sepsis;1;1;0;
A428;Other forms of actinomycosis;1;1;0;
A429;Actinomycosis, unspecified;1;1;0;
A43;Nocardiosis;0;0;0;
A430;Pulmonary nocardiosis;1;1;0;
A431;Cutaneous nocardiosis;1;1;0;
A438;Other forms of nocardiosis;1;1;0;
A439;Nocardiosis, unspecified;1;1;0;
A44;Bartonellosis;0;0;0;
A440;Systemic bartonellosis;1;1;0;
A441;Cutaneous and mucocutaneous bartonellosis;1;1;0;
A448;Other forms of bartonellosis;1;1;0;
A449;Bartonellosis, unspecified;1;1;0;
A46;Erysipelas;1;1;0;
A48;Other bacterial diseases, not elsewhere classified;0;0;0;
A480;Gas gangrene;1;1;0;
A481;Legionnaires disease;1;1;0;
A482;Nonpneumonic Legionnaires disease [Pontiac fever];1;1;0;
A483;Toxic shock syndrome;1;1;0;
A484;Brazilian purpuric fever;1;1;0;
A488;Other specified bacterial diseases;1;1;0;
A49;Bacterial infection of unspecified site;0;0;0;
A490;Staphylococcal infection, unspecified site;1;1;0;
A491;Streptococcal infection, unspecified site;1;1;0;
A492;Haemophilus influenzae infection, unspecified site;1;1;0;
A493;Mycoplasma infection, unspecified site;1;1;0;
A498;Other bacterial infections of unspecified site;1;1;0;
A499;Bacterial infection, unspecified;1;1;0;
A50;Congenital syphilis;0;0;0;
A500;Early congenital syphilis, symptomatic;1;1;0;
