admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
Tuvalu,Tuvalu,edXhJEEXiQ8KpXV6GgTuPL,Tuvalu,Tuvalu,AWn3s2RqgAN,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Tongatapu,Tongatapu,cEBbfkFGyjT2WLTUAhoP6Y,Tonga,Tonga,KozcEjeTyuD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Vavau,Vavau,3j7tkTUxg87ztzjWwJfgBd,Tonga,Tonga,KozcEjeTyuD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Haapai,Haapai,7iJCkD6ENYwFwjJtjpySzh,Tonga,Tonga,KozcEjeTyuD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Eua,Eua,thKcrnynMPfbnreEBnXj5r,Tonga,Tonga,KozcEjeTyuD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Niuas,Niuas,icQbqSzhcQ1xrW9R8cajQS,Tonga,Tonga,KozcEjeTyuD,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Gilbert Islands,Gilbert Islands,xspzoXJxqZb9Z5mkN7dafy,Kiribati,Kiribati,B1u1bVtIA92,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Phoenix Islands,Phoenix Islands,aNPE7SEQteefPqb9Ys1fib,Kiribati,Kiribati,B1u1bVtIA92,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Line Islands,Line Islands,fPCFp7C4WKUHPVxxJbAhnx,Kiribati,Kiribati,B1u1bVtIA92,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Central,Central,67sSu3vWKw3obyFK77CqrM,Fiji,Fiji,dbTLdTi7s8F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Eastern,Eastern,92ZKhC9RNQYETeDoyoVHJP,Fiji,Fiji,dbTLdTi7s8F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Northern,Northern,aWG4RTzemcc5YW5aZyhsAi,Fiji,Fiji,dbTLdTi7s8F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
Western,Western,pmLk94SVMbzbwSwq7MzS2V,Fiji,Fiji,dbTLdTi7s8F,SPC Mortality Coding Portal,SPC Mortality Coding Portal,FAR
