id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
0b0e8d25-4a00-4d1e-b29a-680708d6d93e,1% body burns,T310,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
d146b457-e94f-4782-83d8-95bae109c402,10% body burns,T311,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
071e8f08-3727-4edb-a05c-3bb3f9b61b22,20% body burns,T312,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
71c1926f-05c0-4430-9738-f90fcbd007b5,30% body burns,T313,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
ab991a03-ae61-4cec-a5fb-06f93af758d5,40% body burns,T314,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
cf0a2330-f890-4bd0-8e95-ca66b849c384,50% body burns,T315,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
34d94778-a8bc-45c6-bc89-61abec0a7338,60% body burns,T316,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
8ccd0fe0-0c9c-4dcc-a833-8e694e98b3b6,70% body burns,T317,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
4a85ce10-8e9f-49bc-a072-76ee63e58414,80% body burns,T318,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",T20-T32,Burns and corrosions,,No
3ddcd7d9-02cf-4406-8d52-2de90981be0a,AAA,I714,IX,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",Noncommunicable diseases,No
5ed013d1-5380-4d47-974e-9f222495cea2,Abdomen cavity abscess,K650,XI,K00-K93,Diseases of the digestive system,K65-K67,Diseases of peritoneum,Noncommunicable diseases,No
00d8c990-5a3e-4d34-887d-9f89961d48b9,Abdomen cavity abscess,P072,XVI,P00-P96,Certain conditions originating in the perinatal period,P05-P08,Disorders related to length of gestation and fetal growth,,No
0e1bcc04-0f19-4e23-b741-382591903468,Abdomen transitional cells tumour,D487,II,C00-D48,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour,Noncommunicable diseases,No
e1830b3e-4638-4bcd-8a62-bf91823fac9c,Abdomen vascular ischaemia,I99,IX,I00-I99,Diseases of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system,Noncommunicable diseases,Yes
89223954-f0ce-4fed-a323-1a99a5630a02,Abdomen vena cava anastomosis,Y832,XX,V01-Y98,External causes of morbidity and mortality,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Injuries,No
d6ab8d15-73af-4793-b367-765c349e8c60,Abdomen vena cava graft,Y832,XX,V01-Y98,External causes of morbidity and mortality,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Injuries,No
182f725b-e074-4812-8ed3-f044580c145e,Abdomen villous adenoma,D487,II,C00-D48,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour,Noncommunicable diseases,No
042d3fc8-7c8c-4a89-bb4d-a7f3337e6a6c,Abdomen viscera amyloidosis,E854,IV,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,Noncommunicable diseases,No
7f028683-f1d3-46fe-af61-184c26ea058a,Abdomen viscera angiosarcoma,C762,II,C00-D48,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Noncommunicable diseases,No
1b309b9b-4424-4f34-ae24-a706c46a9c4b,Abdomen viscera blunt force trauma,S368,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",,No
4bd718e1-5b39-4c53-a3f5-7e9b76f7d05e,Abdomen viscera carcinoma,C762,II,C00-D48,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Noncommunicable diseases,No
282d3061-4ce2-457a-9019-598e44a2f65a,Abdomen viscera contusion,S368,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",,No
ae4d7ed2-e692-48aa-8bcf-990181b027b7,Abdomen viscera crushing injury,S368,XIX,S00-T98,"Injury, poisoning and certain other consequences of external causes",S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",,No
