id,label,code,source
23873FE1D43037D4,Cholera,A00,SpecV2021SR40
BD225BE0BB0EE1C2,"Cholera due to Vibrio cholerae 01, biovar cholerae",A000,SpecV2021SR40
1DEACBD78AFCA88B,"Cholera due to Vibrio cholerae 01, biovar eltor",A001,SpecV2021SR40
6AE46231F9DE61BF,"Cholera, unspecified",A009,SpecV2021SR40
732C533DB737219B,Typhoid and paratyphoid fevers,A01,SpecV2021SR40
9ABE9B19F14C928A,Typhoid fever,A010,SpecV2021SR40
CFDDC0C5A57DF9E0,Paratyphoid fever A,A011,SpecV2021SR40
EE59D06F1D01A056,Paratyphoid fever B,A012,SpecV2021SR40
2A6C9DD92A43923C,Paratyphoid fever C,A013,SpecV2021SR40Cholera
B9AEA57DCF5BEB23,"Paratyphoid fever, unspecified",A014,SpecV2021SR40
85091DC04AC21F83,Other salmonella infections,A02,SpecV2021SR40
9FBF0E642FC5FB89,Salmonella enteritis,A020,SpecV2021SR40
06F07F0833AE46B4,Salmonella sepsis,A021,SpecV2021SR40
979816CCF1E84475,Localized salmonella infections,A022,SpecV2021SR40
9834B8EEC8B28482,Other specified salmonella infections,A028,SpecV2021SR40
DC55F88B7760B4BE,"Salmonella infection, unspecified",A029,SpecV2021SR40
B45B7866AEFD6B27,Shigellosis,A03,SpecV2021SR40
28248162D8EA1B2F,Shigellosis due to Shigella dysenteriae,A030,SpecV2021SR40
996E715FF46CAA7E,Shigellosis due to Shigella flexneri,A031,SpecV2021SR40
DF75C9F0471D57D5,Shigellosis due to Shigella boydii,A032,SpecV2021SR40
5256FB775C1EEB4E,Shigellosis due to Shigella sonnei,A033,SpecV2021SR40
7EE93BC94E365F50,Other shigellosis,A038,SpecV2021SR40
5C9F0072E8767A5A,"Shigellosis, unspecified",A039,SpecV2021SR40
B39CE943CB870CBD,Other bacterial intestinal infections,A04,SpecV2021SR40
D2F13BB071D6C23E,Enteropathogenic Escherichia coli infection,A040,SpecV2021SR40
02E332B7CE81C3C4,Enterotoxigenic Escherichia coli infection,A041,SpecV2021SR40
16F2C7B8F8A69551,Enteroinvasive Escherichia coli infection,A042,SpecV2021SR40
CB96BC173285E583,Enterohaemorrhagic Escherichia coli infection,A043,SpecV2021SR40
EE4FFDBFE8614982,Other intestinal Escherichia coli infections,A044,SpecV2021SR40
B886B6AA79D80FB7,Campylobacter enteritis,A045,SpecV2021SR40
E816A2A4B0C0A299,Enteritis due to Yersinia enterocolitica,A046,SpecV2021SR40
70B5740D557030FC,Enterocolitis due to Clostridium difficile,A047,SpecV2021SR40
A8B7674BF1498B2F,Other specified bacterial intestinal infections,A048,SpecV2021SR40
6F634F0350876BE0,"Bacterial intestinal infection, unspecified",A049,SpecV2021SR40
6C48B58EF2C5A11A,"Other bacterial foodborne intoxications, not elsewhere classified",A05,SpecV2021SR40
731FE0BB4A0FC7D9,Foodborne staphylococcal intoxication,A050,SpecV2021SR40
A7E4CFDC51738F3B,Botulism,A051,SpecV2021SR40
E05B87B4C17FB5BB,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052,SpecV2021SR40
343D3E4F89F8377B,Foodborne Vibrio parahaemolyticus intoxication,A053,SpecV2021SR40
C9333E127F9B5F2A,Foodborne Bacillus cereus intoxication,A054,SpecV2021SR40
D4BD8F47925AADA7,Other specified bacterial foodborne intoxications,A058,SpecV2021SR40
0970C17CCF25CCE0,"Bacterial foodborne intoxication, unspecified",A059,SpecV2021SR40
3FD7643DC79502A7,Amoebiasis,A06,SpecV2021SR40
0AF906A64CA3D637,Acute amoebic dysentery,A060,SpecV2021SR40
0651CFF43F83DDA9,Chronic intestinal amoebiasis,A061,SpecV2021SR40
542302F54F9AE50C,Amoebic nondysenteric colitis,A062,SpecV2021SR40
D8B60686FE3EE773,Amoeboma of intestine,A063,SpecV2021SR40
F6B0C12E12F58821,Amoebic liver abscess,A064,SpecV2021SR40
B3335BE9A5240544,Amoebic lung abscess,A065,SpecV2021SR40
5364C7FB0D77D523,Amoebic brain abscess,A066,SpecV2021SR40
69948FC8F11F6225,Cutaneous amoebiasis,A067,SpecV2021SR40
6B6DD1925E6D9B7E,Amoebic infection of other sites,A068,SpecV2021SR40
E6206FABC4FA4A4D,"Amoebiasis, unspecified",A069,SpecV2021SR40
2622D11FCDFC66A5,Other protozoal intestinal diseases,A07,SpecV2021SR40
2F7FC27B8BBAD5A7,Balantidiasis,A070,SpecV2021SR40
86C949F8A3C35113,Giardiasis [lambliasis],A071,SpecV2021SR40
F30288A8765E61FE,Cryptosporidiosis,A072,SpecV2021SR40
CB5FF50881B2A6FB,Isosporiasis,A073,SpecV2021SR40
E1DE8A007778DCBC,Other specified protozoal intestinal diseases,A078,SpecV2021SR40
D2A7B8FE844556BE,"Protozoal intestinal disease, unspecified",A079,SpecV2021SR40
A941351EE682DF70,Viral and other specified intestinal infections,A08,SpecV2021SR40
F4E4EECA2486363F,Rotaviral enteritis,A080,SpecV2021SR40
AE4ECC7863E098B0,Acute gastroenteropathy due to Norwalk agent,A081,SpecV2021SR40
B012FA77BB8B1347,Adenoviral enteritis,A082,SpecV2021SR40
0068E563EDEB86FB,Other viral enteritis,A083,SpecV2021SR40
25842F52124F9836,"Viral intestinal infection, unspecified",A084,SpecV2021SR40
2556379B168902B1,Other specified intestinal infections,A085,SpecV2021SR40
6C2807C21C19FB18,Other gastroenteritis and colitis of infectious and unspecified origin,A09,SpecV2021SR40
7C25BA50F0179A71,Other and unspecified gastroenteritis and colitis of infectious origin,A090,SpecV2021SR40
27F1AC2DD4D383C6,Gastroenteritis and colitis of unspecified origin,A099,SpecV2021SR40
F4E7135B97BD3AEC,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15,SpecV2021SR40
AC18C7DC3FFEDC24,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A150,SpecV2021SR40
C492561A3A602BD8,"Tuberculosis of lung, confirmed by culture only",A151,SpecV2021SR40
2B2EB0FBB036333F,"Tuberculosis of lung, confirmed histologically",A152,SpecV2021SR40
8DB9111E10D4D8F9,"Tuberculosis of lung, confirmed by unspecified means",A153,SpecV2021SR40
1D41DE3CD25B302D,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A154,SpecV2021SR40
2FDAACFA170A6C81,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A155,SpecV2021SR40
1189ADBD72E2B3E1,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A156,SpecV2021SR40
10761ABC31403B53,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A157,SpecV2021SR40
96547BA696E66C0C,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A158,SpecV2021SR40
3A32D316098DFCEA,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A159,SpecV2021SR40
BF3208524DE63616,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16,SpecV2021SR40
